Model,Type,Macro PR-AUC,Macro ROC-AUC,Micro PR-AUC,Micro ROC-AUC
XGBoost (ECFP4),Baseline,0.35076567430945577,0.705791464715475,0.3557045008816602,0.7614687595392253
Descriptor MLP,Neural Network,0.32695347323063745,0.7433814903781023,0.3227388632603355,0.7831764214449817
GNN (GNN_GCN),GNN,0.31464854883055154,0.740065043191481,0.3206409165887076,0.7783960789624078
GNN (GNN_GAT),GNN,0.31591810859149866,0.7514995735966657,0.3285119525605681,0.7873432698111779
